id;title;slug;feature_image;valid_from;valid_through;status;created_by;created_date;updated_date;update_by
1;SCSI;support hack;sky;2022-02-17T23:12:12;2022-02-18T04:28:50;DRAFT;56799;2022-02-17T14:38:09;2022-02-17T09:45:34;31995
2;Account;Account haptic Berkshire;Licensed capacity;2022-02-17T13:53:46;2022-02-18T00:04:34;APPROVED;33295;2022-02-17T19:46:25;2022-02-18T00:42:32;59868
3;object-oriented;Garden;Integration Bacon;2022-02-17T06:52:52;2022-02-17T15:40:11;TO;1197;2022-02-18T02:40:06;2022-02-17T09:11:57;92727
4;Handcrafted;Roads;Fantastic Object-based Idaho;2022-02-17T05:34:51;2022-02-17T18:34:13;TRASHED;34047;2022-02-17T22:16:34;2022-02-17T04:55:14;71748
5;Pants;invoice hacking;Small;2022-02-17T07:18:50;2022-02-17T04:49:48;PUBLISHED;2531;2022-02-18T02:41:28;2022-02-17T08:39:02;24939
6;Cotton Ball;workforce revolutionize;ivory;2022-02-18T00:23:41;2022-02-17T11:48:50;TO;35878;2022-02-17T20:46:29;2022-02-17T10:37:21;86760
7;Tuna web-readiness Squares;Steel Account input;Handmade;2022-02-17T06:17:44;2022-02-18T03:40:46;TRASHED;80344;2022-02-18T00:58:29;2022-02-17T09:17:21;87738
8;Colorado engage bypass;calculate;Account California brand;2022-02-17T05:19:37;2022-02-18T01:37:53;DRAFT;5044;2022-02-18T03:59:18;2022-02-17T19:50:57;3649
9;infrastructures Chicken;Future Director;back payment Fresh;2022-02-17T05:10:57;2022-02-17T07:01:45;PUBLISHED;14362;2022-02-18T02:12:52;2022-02-18T03:11:38;38993
10;turn-key Central;Frozen;turn-key Designer;2022-02-17T05:48:08;2022-02-17T10:17:36;PUBLISHED;70377;2022-02-17T16:30:42;2022-02-17T07:11:17;1260
