id;name;price;quantity;image_url;image_url_content_type;created_date;updated_date
1;Open-architected Savings;19809;43086;../fake-data/blob/hipster.png;image/png;2022-02-18T03:04:41;2022-02-17T09:05:50
2;Directives;23858;79711;../fake-data/blob/hipster.png;image/png;2022-02-17T18:53:38;2022-02-17T12:44:25
3;Dakota neural ADP;66498;23262;../fake-data/blob/hipster.png;image/png;2022-02-17T09:17:28;2022-02-18T04:25:34
4;Paradigm Corporate;68636;26632;../fake-data/blob/hipster.png;image/png;2022-02-17T08:24:57;2022-02-17T12:41:21
5;copying Accountability;83666;16362;../fake-data/blob/hipster.png;image/png;2022-02-17T19:37:20;2022-02-17T18:07:30
6;24/365 analyzing;57357;6340;../fake-data/blob/hipster.png;image/png;2022-02-17T11:36:52;2022-02-17T23:06:56
7;SMTP Metal Towels;39;93891;../fake-data/blob/hipster.png;image/png;2022-02-17T05:02:34;2022-02-17T07:54:32
8;Assistant dedicated;40019;13053;../fake-data/blob/hipster.png;image/png;2022-02-17T13:49:12;2022-02-17T06:25:10
9;Washington monetize Vermont;73049;69269;../fake-data/blob/hipster.png;image/png;2022-02-18T00:52:20;2022-02-17T06:24:46
10;synergistic;31613;29665;../fake-data/blob/hipster.png;image/png;2022-02-18T04:23:44;2022-02-17T08:51:08
